x,mu2,g
0.0001,4,14.674
0.0001,5,17.392
0.0001,10,26.513
0.0001,20,36.3312
0.0001,50,49.3961
0.0001,100,59.393
0.0001,200,69.3814
0.0001,500,82.4318
0.0001,1000,92.111
0.0001,2000,101.587
0.0001,5000,113.764
0.001,4,7.1918
0.001,5,8.3517
0.001,10,11.904
0.001,20,15.2891
0.001,50,19.332
0.001,100,22.122
0.001,200,24.7155
0.001,500,27.8564
0.001,1000,30.032
0.001,2000,32.0502
0.001,5000,34.4975
0.01,4,3.7043
0.01,5,4.0631
0.01,10,5.0185
0.01,20,5.76788
0.01,50,6.49988
0.01,100,6.9133
0.01,200,7.24595
0.01,500,7.58799
0.01,1000,7.7894
0.01,2000,7.95134
0.01,5000,8.11669
0.1,4,1.2833
0.1,5,1.2828
0.1,10,1.2645
0.1,20,1.23133
0.1,50,1.16809
0.1,100,1.1178
0.1,200,1.06934
0.1,500,1.00903
0.1,1000,0.96658
0.1,2000,0.926876
0.1,5000,0.878402
0.2,4,0.67735
0.2,5,0.66096
0.2,10,0.60821
0.2,20,0.557672
0.2,50,0.492244
0.2,100,0.44891
0.2,200,0.410955
0.2,500,0.367984
0.2,1000,0.34003
0.2,2000,0.315394
0.2,5000,0.287103
0.3,4,0.44021
0.3,5,0.41561
0.3,10,0.34953
0.3,20,0.297825
0.3,50,0.241403
0.3,100,0.20854
0.3,200,0.181953
0.3,500,0.154119
0.3,1000,0.1372
0.3,2000,0.123047
0.3,5000,0.107631
0.4,4,0.26438
