x,mu2,time_per_call_ns
0.0001,4,94
0.0001,5,100
0.0001,10,112
0.0001,20,66
0.0001,50,126
0.0001,100,142
0.0001,200,154
0.0001,500,109
0.0001,1000,107
0.0001,2000,113
0.0001,5000,141
0.001,4,105
0.001,5,85
0.001,10,95
0.001,20,89
0.001,50,92
0.001,100,92
0.001,200,151
0.001,500,93
0.001,1000,105
0.001,2000,89
0.001,5000,83
0.01,4,107
0.01,5,117
0.01,10,99
0.01,20,104
0.01,50,103
0.01,100,99
0.01,200,127
0.01,500,101
0.01,1000,114
0.01,2000,97
0.01,5000,97
0.1,4,109
0.1,5,102
0.1,10,144
0.1,20,64
0.1,50,92
0.1,100,112
0.1,200,118
0.1,500,111
0.1,1000,107
0.1,2000,123
0.1,5000,110
0.2,4,107
0.2,5,111
0.2,10,90
0.2,20,66
0.2,50,104
0.2,100,105
0.2,200,106
0.2,500,118
0.2,1000,106
0.2,2000,94
0.2,5000,101
0.3,4,93
0.3,5,136
0.3,10,92
0.3,20,61
0.3,50,93
0.3,100,111
0.3,200,116
0.3,500,88
0.3,1000,86
0.3,2000,122
0.3,5000,103
0.4,4,90
